minimum_nights,calculated_host_listings_count,availability_365,neighbourhood_n,room_type_n,price
0.0016012810248198558,0.0,0.0027397260273972603,0.05454545454545454,0.5,295
0.0008006405124099279,0.0,0.0,0.13636363636363635,0.0,70
0.0008006405124099279,0.003067484662576687,0.0,0.02727272727272727,0.0,58
0.0016012810248198558,0.0,0.7315068493150685,0.02727272727272727,0.5,75
0.0032025620496397116,0.0,0.0,0.1409090909090909,0.0,38
0.023218574859887906,0.09202453987730062,0.7397260273972602,0.031818181818181815,0.5,100
0.004803843074459567,0.0,0.1178082191780822,0.12727272727272726,0.5,260
0.0,0.0,0.010958904109589041,0.049999999999999996,0.5,147
0.0,0.0,0.0,0.09090909090909091,0.0,34
0.0,0.0,0.0,0.06818181818181818,0.0,65
0.023218574859887906,0.024539877300613498,0.410958904109589,0.08636363636363636,0.5,125
0.023218574859887906,0.19631901840490798,0.9260273972602739,0.3227272727272727,0.5,310
0.0,0.012269938650306749,0.9013698630136986,0.09545454545454544,0.0,50
0.0,0.0,0.0,0.08636363636363636,0.0,79
0.023218574859887906,0.003067484662576687,0.1726027397260274,0.17272727272727273,0.5,329
0.0,0.003067484662576687,0.4657534246575343,0.36818181818181817,0.0,115
0.0016012810248198558,0.0,0.0,0.09545454545454544,0.5,140
0.0016012810248198558,0.003067484662576687,0.30684931506849317,0.05909090909090909,0.5,225
0.0,0.012269938650306749,0.7698630136986302,0.00909090909090909,0.0,149
0.0008006405124099279,0.0,0.33972602739726027,0.3318181818181818,0.0,50
0.023218574859887906,0.018404907975460124,0.9972602739726028,0.00909090909090909,0.0,88
0.0008006405124099279,0.0,0.0,0.16818181818181818,0.5,200
0.010408326661329063,0.0,0.0,0.05454545454545454,0.5,160
0.0008006405124099279,0.0,0.24383561643835616,0.02727272727272727,0.5,125
0.0024019215372297837,0.006134969325153375,0.0,0.13636363636363635,0.0,75
0.0008006405124099279,0.0,0.15616438356164383,0.37727272727272726,0.0,80
0.0008006405124099279,0.0,0.0,0.05909090909090909,0.5,140
0.0008006405124099279,0.0,0.11232876712328767,0.05909090909090909,0.5,134
0.007205764611689351,0.0,0.0,0.10909090909090909,0.0,65
0.023218574859887906,0.15644171779141103,0.8958904109589041,0.09090909090909091,0.5,159
0.0008006405124099279,0.0,0.14246575342465753,0.08636363636363636,0.5,300
0.0,0.0,0.4931506849315069,0.20909090909090908,0.0,95
0.011208967173738989,0.0,0.0,0.022727272727272728,0.0,70
0.0008006405124099279,0.015337423312883437,0.5452054794520548,0.013636363636363636,0.5,248
0.0,0.012269938650306749,0.9972602739726028,0.13636363636363635,0.5,750
0.0008006405124099279,0.0,0.0,0.09545454545454544,0.0,90
0.023218574859887906,0.02147239263803681,0.4410958904109589,0.05454545454545454,0.5,80
0.004803843074459567,0.0,0.18356164383561643,0.13636363636363635,0.5,85
0.0016012810248198558,0.0,0.0,0.09999999999999999,0.0,50
0.0008006405124099279,0.0,0.0,0.05454545454545454,0.5,295
0.010408326661329063,0.0,0.0,0.10454545454545454,0.0,80
0.0016012810248198558,0.0,0.0,0.08636363636363636,0.0,109
0.0016012810248198558,0.0,0.0,0.049999999999999996,0.0,100
0.0008006405124099279,0.0,0.9287671232876712,0.02727272727272727,0.0,45
0.0016012810248198558,0.0,0.6657534246575343,0.22272727272727272,0.5,135
0.0024019215372297837,0.006134969325153375,0.33972602739726027,0.5181818181818182,0.5,115
0.0032025620496397116,0.0,0.9342465753424658,0.12727272727272726,0.0,185
0.0016012810248198558,0.0,0.11506849315068493,0.09090909090909091,0.5,150
0.023218574859887906,0.7085889570552147,0.8547945205479452,0.11818181818181818,0.5,290
0.0,0.003067484662576687,0.0,0.45454545454545453,0.0,80
0.0,0.006134969325153375,0.0,0.09545454545454544,0.0,65
0.024019215372297835,0.003067484662576687,0.663013698630137,0.10909090909090909,0.0,45
0.0,0.0,0.019178082191780823,0.24545454545454545,0.5,80
0.0,0.006134969325153375,1.0,0.5636363636363636,0.0,75
0.004803843074459567,0.0,0.5835616438356165,0.00909090909090909,0.0,69
0.0024019215372297837,0.0,0.0,0.2545454545454545,0.0,65
0.0024019215372297837,0.0,0.0,0.02727272727272727,0.0,60
0.0016012810248198558,0.0,0.0,0.3090909090909091,0.5,195
0.011208967173738989,0.006134969325153375,0.2904109589041096,0.00909090909090909,0.0,69
0.0032025620496397116,0.0,0.0,0.22272727272727272,0.5,160
0.0016012810248198558,0.0,0.0,0.05454545454545454,0.5,150
0.0,0.003067484662576687,0.0,0.08636363636363636,0.0,250
0.0016012810248198558,0.0,0.0,0.013636363636363636,0.5,90
0.0008006405124099279,0.0,0.35342465753424657,0.004545454545454545,0.5,235
0.0,0.018404907975460124,0.6301369863013698,0.3227272727272727,0.0,100
0.0,0.0,0.0410958904109589,0.12727272727272726,0.5,239
0.0,0.0,0.08767123287671233,0.00909090909090909,0.5,65
0.0016012810248198558,0.0,0.6246575342465753,0.44545454545454544,0.5,115
0.0,0.0,0.7726027397260274,0.8318181818181818,0.5,60
0.004803843074459567,0.0,0.473972602739726,0.09545454545454544,0.0,60
0.010408326661329063,0.0,0.0,0.08636363636363636,0.0,45
0.0,0.0,0.0,0.10454545454545454,0.5,300
0.0032025620496397116,0.003067484662576687,0.0,0.1409090909090909,0.0,35
0.0024019215372297837,0.009202453987730062,0.2684931506849315,0.09545454545454544,0.0,69
0.023218574859887906,0.0,0.8246575342465754,0.08636363636363636,0.5,198
0.0032025620496397116,0.0,0.0,0.08636363636363636,0.5,100
0.0008006405124099279,0.009202453987730062,0.6821917808219178,0.44999999999999996,0.0,60
0.0,0.0,0.4904109589041096,0.02727272727272727,0.0,225
0.0008006405124099279,0.009202453987730062,0.8986301369863013,0.24545454545454545,0.5,325
0.0008006405124099279,0.0,0.7835616438356164,0.03636363636363636,0.5,350
